name,salary,min_salary,max_salary,currency_salary,link,source
Руководитель направления отдела мониторинга и реагирования на инциденты ИБ (SOC L2),,,,,https://spb.hh.ru/vacancy/77516429?from=vacancy_search_list&query=python,https://hh.ru/
Middle/Senior QA Mobile (Manual) / Тестировщик ПО,от 150 000 руб.,150000.0,,руб.,https://spb.hh.ru/vacancy/77224947?from=vacancy_search_list&query=python,https://hh.ru/
Специалист по Data Science,,,,,https://spb.hh.ru/vacancy/77484387?from=vacancy_search_list&query=python,https://hh.ru/
DevOps инженер,,,,,https://spb.hh.ru/vacancy/77296876?from=vacancy_search_list&query=python,https://hh.ru/
Backend разработчик С++ в команду Транспорта,,,,,https://spb.hh.ru/vacancy/72747031?from=vacancy_search_list&query=python,https://hh.ru/
QA automation (R&D),,,,,https://spb.hh.ru/vacancy/74246182?from=vacancy_search_list&query=python,https://hh.ru/
Разработчик С++ в команду 3D Карта,,,,,https://spb.hh.ru/vacancy/76073156?from=vacancy_search_list&query=python,https://hh.ru/
Data Engineer,,,,,https://spb.hh.ru/vacancy/76442309?from=vacancy_search_list&query=python,https://hh.ru/
Аналитик sql,,,,,https://spb.hh.ru/vacancy/77414687?from=vacancy_search_list&query=python,https://hh.ru/
Backend программист,от 130 000 руб.,130000.0,,руб.,https://spb.hh.ru/vacancy/77415978?from=vacancy_search_list&query=python,https://hh.ru/
Кредитный аналитик Sql,,,,,https://spb.hh.ru/vacancy/77416119?from=vacancy_search_list&query=python,https://hh.ru/
Middle QA-инженер в команду Online,,,,,https://spb.hh.ru/vacancy/77440901?from=vacancy_search_list&query=python,https://hh.ru/
DevOps-инженер (Казань),,,,,https://spb.hh.ru/vacancy/66729881?from=vacancy_search_list&query=python,https://hh.ru/
QA automation,,,,,https://spb.hh.ru/vacancy/77416985?from=vacancy_search_list&query=python,https://hh.ru/
QA-инженер (автоматизация),до 250 000 руб.,,250000.0,руб.,https://spb.hh.ru/vacancy/77426116?from=vacancy_search_list&query=python,https://hh.ru/
Системный администратор Linux,,,,,https://spb.hh.ru/vacancy/73081919?from=vacancy_search_list&query=python,https://hh.ru/
Специалист группы сопровождения биллинга,,,,,https://spb.hh.ru/vacancy/76733886?from=vacancy_search_list&query=python,https://hh.ru/
Разработчик Java,,,,,https://spb.hh.ru/vacancy/76783042?from=vacancy_search_list&query=python,https://hh.ru/
Технический директор/СТО,,,,,https://spb.hh.ru/vacancy/77436223?from=vacancy_search_list&query=python,https://hh.ru/
Консультант 1С,,,,,https://spb.hh.ru/vacancy/74378411?from=vacancy_search_list&query=python,https://hh.ru/
DWH разработчик / DWH инженер / Data Engineer,от 110 000 руб.,110000.0,,руб.,https://spb.hh.ru/vacancy/76291842?from=vacancy_search_list&query=python,https://hh.ru/
Продуктовый аналитик,от 80 000 руб.,80000.0,,руб.,https://spb.hh.ru/vacancy/76283804?from=vacancy_search_list&query=python,https://hh.ru/
QA mobile / Инженер по тестированию (manual/auto) в Тинькофф Мобильный Банк,,,,,https://spb.hh.ru/vacancy/76266218?from=vacancy_search_list&query=python,https://hh.ru/
Инженер Linux,,,,,https://spb.hh.ru/vacancy/54220301?from=vacancy_search_list&query=python,https://hh.ru/
Trading Platform Reliability Engineer,от 1 000 USD,1000.0,,USD,https://spb.hh.ru/vacancy/76095405?from=vacancy_search_list&query=python,https://hh.ru/
QA automation engineer,,,,,https://spb.hh.ru/vacancy/77328098?from=vacancy_search_list&query=python,https://hh.ru/
Специалист по тестированию на проникновение (pentest),,,,,https://spb.hh.ru/vacancy/76272121?from=vacancy_search_list&query=python,https://hh.ru/
Аналитик бизнес процессов,,,,,https://spb.hh.ru/vacancy/76279241?from=vacancy_search_list&query=python,https://hh.ru/
Product Owner,220 000 – 350 000 руб.,,,руб.,https://spb.hh.ru/vacancy/77334460?from=vacancy_search_list&query=python,https://hh.ru/
"Разработчик SCADA-систем (C#, Python)",,,,,https://spb.hh.ru/vacancy/77277225?from=vacancy_search_list&query=python,https://hh.ru/
Аналитик,,,,,https://spb.hh.ru/vacancy/77287075?from=vacancy_search_list&query=python,https://hh.ru/
Аналитик рынка,,,,,https://spb.hh.ru/vacancy/73407362?from=vacancy_search_list&query=python,https://hh.ru/
Бизнес-аналитик (Операционный маркетинг),,,,,https://spb.hh.ru/vacancy/71039387?from=vacancy_search_list&query=python,https://hh.ru/
Маркетолог-аналитик,,,,,https://spb.hh.ru/vacancy/73407335?from=vacancy_search_list&query=python,https://hh.ru/
Руководитель группы разработки (Team Lead),,,,,https://spb.hh.ru/vacancy/77224953?from=vacancy_search_list&query=python,https://hh.ru/
DevOps инженер,,,,,https://spb.hh.ru/vacancy/73776674?from=vacancy_search_list&query=python,https://hh.ru/
Внутренний аудитор (крупное промышленное производство),,,,,https://spb.hh.ru/vacancy/77176522?from=vacancy_search_list&query=python,https://hh.ru/
Инженер-программист,,,,,https://spb.hh.ru/vacancy/72754447?from=vacancy_search_list&query=python,https://hh.ru/
HR Аналитик,от 70 000 руб.,70000.0,,руб.,https://spb.hh.ru/vacancy/77111054?from=vacancy_search_list&query=python,https://hh.ru/
"Разработчик Asyncio, AioHttp уровня Middle",130 000 – 190 000 руб.,,,руб.,https://spb.hh.ru/vacancy/77282299?from=vacancy_search_list&query=python,https://hh.ru/
"DevOps-инженер (middle/senior, kubernetes)",100 000 – 150 000 руб.,,,руб.,https://spb.hh.ru/vacancy/76655413?from=vacancy_search_list&query=python,https://hh.ru/
Аналитик данных,,,,,https://spb.hh.ru/vacancy/77079684?from=vacancy_search_list&query=python,https://hh.ru/
Руководитель направления HR аналитики,от 150 000 руб.,150000.0,,руб.,https://spb.hh.ru/vacancy/76145094?from=vacancy_search_list&query=python,https://hh.ru/
QA engineer (auto + manual),,,,,https://spb.hh.ru/vacancy/77005657?from=vacancy_search_list&query=python,https://hh.ru/
Аналитик по информационной безопасности (vulnerability management),,,,,https://spb.hh.ru/vacancy/72191481?from=vacancy_search_list&query=python,https://hh.ru/
Старший системный администратор Linux,,,,,https://spb.hh.ru/vacancy/76974868?from=vacancy_search_list&query=python,https://hh.ru/
Data Analyst,,,,,https://spb.hh.ru/vacancy/71833309?from=vacancy_search_list&query=python,https://hh.ru/
Специалист по тестированию / QA engineer (Junior),от 40 000 руб.,40000.0,,руб.,https://spb.hh.ru/vacancy/76968641?from=vacancy_search_list&query=python,https://hh.ru/
